,userID,Mode,Application,Time,Task,Guesses,Avg Dist,STD Dist,Avg Scale,Avg Scale:Dist,Avg Visual Angle,Std Visual Angle,Time_To_First_Guess
298,63,Responsive,Weather,19061,3,7,0.5879191328360381,0.20994494744830733,0.7699999809265137,1.3097038996028985,0.9398465870844978,0.16177698136296167,13400
38,57,Responsive,Weather,19859,3,3,0.6341911843189827,0.3976744086839759,0.7699999809265137,1.2141448824353611,0.942078132159003,0.24246714792158486,18450
108,67,Responsive,Weather,21510,3,3,0.5532393186574891,0.2733548444614291,0.7699999809265137,1.3918027062773195,0.9804663273013697,0.18756751828266363,19860
348,83,Responsive,Weather,21890,3,6,0.6853880198645931,0.1505161063229809,0.7699999809265137,1.1234511818263715,0.8534018555019921,0.10033308057096635,13610
68,69,Responsive,Weather,23060,3,3,0.6398709685011295,0.1804639735527009,0.7699999809265137,1.2033675832022914,0.8925495301874593,0.12997633101719036,22500
188,43,Responsive,Weather,28389,3,8,0.6250108987956807,0.17989933565513477,0.7699999809265137,1.2319784861515362,0.9035723454850068,0.12321499769709503,11909
148,45,Responsive,Weather,33961,3,5,0.7691503891051716,0.1855344601425932,0.7699999809265137,1.001104584790408,0.7998223467439136,0.11670752602730673,30441
18,59,Responsive,Weather,35611,3,10,0.6379566734803314,0.050693084430483655,0.7699999809265137,1.20697848762335,0.8801309526438104,0.03717792612844936,9151
138,33,Responsive,Weather,55250,3,13,0.4887596580104791,0.275021655534736,0.7699999809265137,1.575416400078594,1.0378908463603214,0.1724059138951969,17270
88,51,Responsive,Weather,57862,3,17,0.6536613671173779,0.13209221277042862,0.7699999809265137,1.1779799444507248,0.8750857795514463,0.09523379028878085,10760
396,71,Responsive,Weather,71781,3,21,0.5681925958661891,0.09828395096970553,0.7699999809265137,1.355174260503477,0.9399225294566185,0.08054203142204938,18410
278,39,Responsive,Weather,150872,3,11,0.5961462379563103,0.14642104927757751,0.7697477554266814,1.2912062618486135,0.9218629299239914,0.10603206288549206,9660
228,65,Responsive,Weather,183784,3,110,0.5101453101246998,0.1239640432200019,0.7699999809265137,1.509373830641107,0.993080594854559,0.09101312360021634,8071
288,55,Responsive,Weather,263695,3,68,0.830397496602426,0.3224388720794402,0.7698426463713198,0.9270772726569305,0.7848154898178199,0.18205911772626363,9381
48,32,Static,Weather,7934,3,3,0.6445912128993008,0.20388335726049522,0.7699999809265137,1.1945555035774347,0.8914515518041346,0.1293538033512959,7074
406,82,Static,Weather,8471,3,3,0.8006968961621262,0.2996197972208383,0.7699999809265137,0.9616622527416454,0.796396924401323,0.1553103704853781,7657
258,30,Static,Weather,9360,3,3,0.7646095777244469,0.3020521460895286,0.7699999809265137,1.0070498766417615,0.8201427527469435,0.15350634819708991,8430
368,70,Static,Weather,10460,3,9,0.6175570265686777,0.08244276518131813,0.7699999809265137,1.2468483845206204,0.8980037898901141,0.05887939778459193,5380
208,36,Static,Weather,10810,3,7,0.6062417649404499,0.07867364856056666,0.7699999809265137,1.2701203141326785,0.9067894079128889,0.05791529082082693,5860
98,58,Static,Weather,10928,3,3,0.5572127807983779,0.24481701301497147,0.7699999809265137,1.3818778166273447,0.9724289008910034,0.18698710516608932,9587
378,84,Static,Weather,12941,3,3,0.9438669531848293,0.25089375078290493,0.7699999809265137,0.8157929232805031,0.7060689863442632,0.14350509876273704,12141
198,38,Static,Weather,13320,3,3,0.7476893086177648,0.12466971615514522,0.7699999809265137,1.029839496234063,0.8064816864171686,0.07830814629208509,12700
426,40,Static,Weather,14076,3,3,0.7332075173544494,0.21731475320853696,0.7699999809265137,1.0501801505047552,0.8292192351162243,0.1372386969888835,12670
168,86,Static,Weather,14160,3,3,0.6116024783189138,0.012174855635563647,0.7699999809265137,1.2589876729129361,0.8996215068312814,0.009678496210974736,13420
318,46,Static,Weather,14524,3,3,0.6222294641091226,0.15672694632117218,0.7699999809265137,1.2374855665649995,0.9026007123387619,0.11654086220613505,12162
238,54,Static,Weather,18620,3,7,0.7403139714375312,0.08146003614611634,0.7699999809265137,1.0400992155143831,0.8078647647306278,0.05358888627265397,9310
446,78,Static,Weather,28552,3,7,0.6276134673321953,0.08086059699761107,0.7699999809265137,1.2268697550413674,0.8900728867547086,0.06074277448793427,13371
328,79,Static,Weather,29811,3,13,0.5369066661968582,0.1479233292917747,0.7699999809265137,1.4341412193310172,0.9719444005670774,0.10013974139193835,5770
28,68,Static,Weather,49671,3,15,0.6510587417640425,0.03404793737860712,0.7699999809265137,1.1826889519065515,0.8694587118408926,0.025435452251738752,9240
308,64,Static,Weather,51066,3,11,0.8319071741222587,0.028443583742861878,0.7699999809265137,0.9255840133112652,0.7470873888686118,0.01728486915685393,18130
358,48,Static,Weather,57861,3,11,0.5485149052679643,0.23047722531785916,0.7699999809265137,1.4037904413014044,0.9722128226823983,0.12749364379234918,11141
178,44,Static,Weather,67541,3,14,0.4981425399648165,0.1160141857995412,0.7699999809265137,1.5457422708385802,1.0032095693286425,0.09049042521339867,13411
158,80,Static,Weather,117331,3,20,0.6688523762555543,0.14279088047767852,0.7699999809265137,1.151225604126901,0.8648564308788185,0.10025862697368627,11200
128,34,Static,Weather,150813,3,46,0.717459855392334,0.3368723297270022,0.7699999809265137,1.0732307531066652,0.8562867321278239,0.15309145452900197,13650
118,60,Static,Weather,223873,3,56,0.6826548604894044,0.14968275402466344,0.7699999809265137,1.1279491665444092,0.8553665706866764,0.10056778601040132,8510
